0.6;22;68769.88958068429
0.6;22;63482.54270196665
0.6;21;72506.70613047747
0.7;23;74709.43288525
0.7;24;73902.6124320522
0.7;22;76284.99259868314
0.75;23;77974.74593098789
0.75;22;80657.03541160279
0.75;23;77902.01527886876
0.8;23;80879.7814976653
0.8;22;83526.44966136555
0.8;23;80238.93306845844
0.85;23;89019.21485371437
0.85;23;95345.10447198166
0.85;23;92188.76906119402
0.9;23;84013.79148165164
0.9;23;86336.76892053754
0.9;23;83426.40238159585
1.0;22;92186.37990020624
1.0;22;100130.77674537797
1.0;22;100504.36250883844
