0.5;41;153920.00188206148
0.5;41;152053.9883549193
0.5;41;158208.6896514544
1.0;31;116103.45263723191
1.0;29;112398.32221224184
1.0;33;107687.02016948836
1.25;31;94747.63341390966
1.25;32;92469.62915709357
1.25;32;96325.92424870688
1.5;32;84660.68606970368
1.5;31;85047.20619730513
1.5;29;85064.88960382003
1.75;35;77370.72721012791
1.75;34;75238.33917766047
1.75;32;74057.9417491927
2.1;33;68619.49356066936
2.1;36;66575.93677269896
2.1;34;64513.25121359965
2.5;37;63087.96128187977
2.5;38;65744.07990599901
2.5;38;62610.96139683302
