0.2;52;93237.27389537303
0.2;53;97782.34787403267
0.2;52;101061.60922976502
0.3;46;103712.59675295642
0.3;44;95592.28479380277
0.3;44;100377.81275784082
0.4;36;101994.53406005318
0.4;39;99449.9263026439
0.4;37;99187.41315533138
0.5;32;108598.10496649746
0.5;32;108833.79983759485
0.5;29;107420.96763643311
0.6;27;107988.23947572027
0.6;27;106317.0612826006
0.6;27;102717.52882795729
0.7;24;100099.87366464257
0.7;24;108456.56167430087
0.7;24;101291.94124664798
0.8;23;98708.08224962903
0.8;23;103147.20303113185
0.8;23;100817.59429564925
